at;content;cleaning;case_folding;hasil_normalisasi;tokenize;stopword removal;steming_data;stemming;Score;Sentiment
2025-12-26 23:43:18;buruk sekali, saat pengisian data domisili saya nggk ada lalu saya buat pengaduan ke email, di balas lama banget dan jawaban gak sesuai dan nggak nyambung itupun pake jawaban otomatis, yang disalahin malah datanya padahal yg salah aplikasinya😂 genah pora??? seriusan loh masa apk dari pemerintah kaya gini yang kerja niat apa engga??;buruk sekali saat pengisian data domisili saya nggk ada lalu saya buat pengaduan ke email di balas lama banget dan jawaban gak sesuai dan nggak nyambung itupun pake jawaban otomatis yang disalahin malah datanya padahal yg salah aplikasinya genah pora seriusan loh masa apk dari pemerintah kaya gini yang kerja niat apa engga;buruk sekali saat pengisian data domisili saya nggk ada lalu saya buat pengaduan ke email di balas lama banget dan jawaban gak sesuai dan nggak nyambung itupun pake jawaban otomatis yang disalahin malah datanya padahal yg salah aplikasinya genah pora seriusan loh masa apk dari pemerintah kaya gini yang kerja niat apa engga;buruk sekali saat pengisian data domisili saya tidak ada lalu saya buat pengaduan ke email di balas lama banget dan jawaban tidak sesuai dan tidak menyambung itupun pakai jawaban otomatis yang disalahin malah datanya padahal yang salah aplikasinya genah pora seriusan loh masa apk dari pemerintah kayak begini yang kerja niat apa tidak;['buruk', 'sekali', 'saat', 'pengisian', 'data', 'domisili', 'saya', 'tidak', 'ada', 'lalu', 'saya', 'buat', 'pengaduan', 'ke', 'email', 'di', 'balas', 'lama', 'banget', 'dan', 'jawaban', 'tidak', 'sesuai', 'dan', 'tidak', 'menyambung', 'itupun', 'pakai', 'jawaban', 'otomatis', 'yang', 'disalahin', 'malah', 'datanya', 'padahal', 'yang', 'salah', 'aplikasinya', 'genah', 'pora', 'seriusan', 'loh', 'masa', 'apk', 'dari', 'pemerintah', 'kayak', 'begini', 'yang', 'kerja', 'niat', 'apa', 'tidak'];['buruk', 'pengisian', 'data', 'domisili', 'pengaduan', 'email', 'balas', 'banget', 'sesuai', 'menyambung', 'itupun', 'pakai', 'otomatis', 'disalahin', 'datanya', 'salah', 'aplikasinya', 'genah', 'pora', 'seriusan', 'loh', 'apk', 'pemerintah', 'kayak', 'kerja', 'niat'];buruk isi data domisili adu email balas banget sesuai sambung itu pakai otomatis disalahin data salah aplikasi genah pora serius loh apk perintah kayak kerja niat;buruk isi data domisili adu email balas banget sesuai sambung itu pakai otomatis disalahin data salah aplikasi genah pora serius loh apk perintah kayak kerja niat;-24.0;Negatif
2025-12-26 14:02:48;Alhamdulillah sgt membantu;Alhamdulillah sgt membantu;alhamdulillah sgt membantu;alhamdulillah sangat membantu;['alhamdulillah', 'sangat', 'membantu'];['alhamdulillah', 'membantu'];alhamdulillah bantu;alhamdulillah bantu;8.0;Positif
2025-12-25 06:51:24;kesulitan login, malah yang ada tidak valid, dan udah hubungi helpdesk nya ,gada respon;kesulitan login malah yang ada tidak valid dan udah hubungi helpdesk nya gada respon;kesulitan login malah yang ada tidak valid dan udah hubungi helpdesk nya gada respon;kesulitan login malah yang ada tidak valid dan sudah hubungi helpdesk ya tidak ada respon;['kesulitan', 'login', 'malah', 'yang', 'ada', 'tidak', 'valid', 'dan', 'sudah', 'hubungi', 'helpdesk', 'ya', 'tidak', 'ada', 'respon'];['kesulitan', 'login', 'valid', 'hubungi', 'helpdesk', 'ya', 'respon'];sulit login valid hubung helpdesk ya respon;sulit login valid hubung helpdesk ya respon;7.0;Positif
2025-12-25 04:06:54;Satu sehat mudah di gunakan,banyak informasi tentang kesehatam;Satu sehat mudah di gunakanbanyak informasi tentang kesehatam;satu sehat mudah di gunakanbanyak informasi tentang kesehatam;satu sehat mudah di gunakanbanyak informasi tentang kesehatam;['satu', 'sehat', 'mudah', 'di', 'gunakanbanyak', 'informasi', 'tentang', 'kesehatam'];['sehat', 'mudah', 'gunakanbanyak', 'informasi', 'kesehatam'];sehat mudah gunakanbanyak informasi kesehatam;sehat mudah gunakanbanyak informasi kesehatam;10.0;Positif
2025-12-24 12:05:16;Coba dulu;Coba dulu;coba dulu;coba dulu;['coba', 'dulu'];['coba'];coba;coba;2.0;Positif
2025-12-24 09:15:38;Aplikasi mau masuk susah, harus gonta-ganti pin ngak jelas;Aplikasi mau masuk susah harus gontaganti pin ngak jelas;aplikasi mau masuk susah harus gontaganti pin ngak jelas;aplikasi mau masuk susah harus gontaganti pin tidak jelas;['aplikasi', 'mau', 'masuk', 'susah', 'harus', 'gontaganti', 'pin', 'tidak', 'jelas'];['aplikasi', 'masuk', 'susah', 'gontaganti', 'pin'];aplikasi masuk susah gontaganti pin;aplikasi masuk susah gontaganti pin;-10.0;Negatif
2025-12-24 07:56:24;oke;oke;oke;oke;['oke'];['oke'];oke;oke;2.0;Positif
2025-12-24 04:33:22;Tidak bisa login walau sudah ganti pin, yg ada permintaan tidak valid terus, sudah komplain via web juga tapi belum di respon.makasih;Tidak bisa login walau sudah ganti pin yg ada permintaan tidak valid terus sudah komplain via web juga tapi belum di responmakasih;tidak bisa login walau sudah ganti pin yg ada permintaan tidak valid terus sudah komplain via web juga tapi belum di responmakasih;tidak bisa login walau sudah ganti pin yang ada permintaan tidak valid terus sudah komplain via web juga tapi belum di responmakasih;['tidak', 'bisa', 'login', 'walau', 'sudah', 'ganti', 'pin', 'yang', 'ada', 'permintaan', 'tidak', 'valid', 'terus', 'sudah', 'komplain', 'via', 'web', 'juga', 'tapi', 'belum', 'di', 'responmakasih'];['login', 'ganti', 'pin', 'permintaan', 'valid', 'komplain', 'via', 'web', 'responmakasih'];login ganti pin minta valid komplain via web responmakasih;login ganti pin minta valid komplain via web responmakasih;5.0;Positif
2025-12-24 02:34:39;login email, pasword benar.. tapi susah masuk. banyak bug.;login email pasword benar tapi susah masuk banyak bug;login email pasword benar tapi susah masuk banyak bug;login email pasword benar tapi susah masuk banyak bug;['login', 'email', 'pasword', 'benar', 'tapi', 'susah', 'masuk', 'banyak', 'bug'];['login', 'email', 'pasword', 'susah', 'masuk', 'bug'];login email pasword susah masuk bug;login email pasword susah masuk bug;-6.0;Negatif
2025-12-24 01:00:11;Sangat bagus;Sangat bagus;sangat bagus;sangat bagus;['sangat', 'bagus'];['bagus'];bagus;bagus;2.0;Positif
2025-12-23 23:07:14;setelah diupdate malah tidak bisa masukkan pin. sudah ganti tapi tetap sama tertulis permintaan tidak valid;setelah diupdate malah tidak bisa masukkan pin sudah ganti tapi tetap sama tertulis permintaan tidak valid;setelah diupdate malah tidak bisa masukkan pin sudah ganti tapi tetap sama tertulis permintaan tidak valid;setelah diupdate malah tidak bisa masukkan pin sudah ganti tapi tetap sama tertulis permintaan tidak valid;['setelah', 'diupdate', 'malah', 'tidak', 'bisa', 'masukkan', 'pin', 'sudah', 'ganti', 'tapi', 'tetap', 'sama', 'tertulis', 'permintaan', 'tidak', 'valid'];['diupdate', 'masukkan', 'pin', 'ganti', 'tertulis', 'permintaan', 'valid'];diupdate masuk pin ganti tulis minta valid;diupdate masuk pin ganti tulis minta valid;2.0;Positif
2025-12-23 22:46:57;mantap;mantap;mantap;mantap;['mantap'];['mantap'];mantap;mantap;5.0;Positif
2025-12-23 13:19:18;ga bisa masuk, padahal udah ganti pin. 2x kayak gini. Dana buat perkembangan aplikasi apa kurang? Punya pemerintah loh dari Kemenkes masak sekelas Kemenkes aplikasi jelek butur kayak gini, eh tapi aplikasi dari pemerintah Konoha ini emang jelek jelek. Itu dana kurang apa dikorupsi besar besaran?;ga bisa masuk padahal udah ganti pin x kayak gini Dana buat perkembangan aplikasi apa kurang Punya pemerintah loh dari Kemenkes masak sekelas Kemenkes aplikasi jelek butur kayak gini eh tapi aplikasi dari pemerintah Konoha ini emang jelek jelek Itu dana kurang apa dikorupsi besar besaran;ga bisa masuk padahal udah ganti pin x kayak gini dana buat perkembangan aplikasi apa kurang punya pemerintah loh dari kemenkes masak sekelas kemenkes aplikasi jelek butur kayak gini eh tapi aplikasi dari pemerintah konoha ini emang jelek jelek itu dana kurang apa dikorupsi besar besaran;tidak bisa masuk padahal sudah ganti pin kali kayak begini dana buat perkembangan aplikasi apa kurang punya pemerintah loh dari kemenkes masak sekelas kemenkes aplikasi jelek butur kayak begini eh tapi aplikasi dari pemerintah konoha ini memang jelek jelek itu dana kurang apa dikorupsi besar besaran;['tidak', 'bisa', 'masuk', 'padahal', 'sudah', 'ganti', 'pin', 'kali', 'kayak', 'begini', 'dana', 'buat', 'perkembangan', 'aplikasi', 'apa', 'kurang', 'punya', 'pemerintah', 'loh', 'dari', 'kemenkes', 'masak', 'sekelas', 'kemenkes', 'aplikasi', 'jelek', 'butur', 'kayak', 'begini', 'eh', 'tapi', 'aplikasi', 'dari', 'pemerintah', 'konoha', 'ini', 'memang', 'jelek', 'jelek', 'itu', 'dana', 'kurang', 'apa', 'dikorupsi', 'besar', 'besaran'];['masuk', 'ganti', 'pin', 'kali', 'kayak', 'dana', 'perkembangan', 'aplikasi', 'pemerintah', 'loh', 'kemenkes', 'masak', 'sekelas', 'kemenkes', 'aplikasi', 'jelek', 'butur', 'kayak', 'eh', 'aplikasi', 'pemerintah', 'konoha', 'jelek', 'jelek', 'dana', 'dikorupsi', 'besaran'];masuk ganti pin kali kayak dana kembang aplikasi perintah loh kemenkes masak kelas kemenkes aplikasi jelek butur kayak eh aplikasi perintah konoha jelek jelek dana korupsi besar;masuk ganti pin kali kayak dana kembang aplikasi perintah loh kemenkes masak kelas kemenkes aplikasi jelek butur kayak eh aplikasi perintah konoha jelek jelek dana korupsi besar;-23.0;Negatif
2025-12-22 16:21:26;aplikasi busuk buang2 uang rakyat;aplikasi busuk buang uang rakyat;aplikasi busuk buang uang rakyat;aplikasi busuk buang uang rakyat;['aplikasi', 'busuk', 'buang', 'uang', 'rakyat'];['aplikasi', 'busuk', 'buang', 'uang', 'rakyat'];aplikasi busuk buang uang rakyat;aplikasi busuk buang uang rakyat;-12.0;Negatif
2025-12-22 13:52:42;gasken;gasken;gasken;gasken;['gasken'];['gasken'];gasken;gasken;0.0;Netral
2025-12-22 07:14:44;kirain lupa pin, tapi udah berulang kali ganti ttp d bilng salah pin nya , tiba2 error;kirain lupa pin tapi udah berulang kali ganti ttp d bilng salah pin nya tiba error;kirain lupa pin tapi udah berulang kali ganti ttp d bilng salah pin nya tiba error;mengira lupa pin tapi sudah berulang kali ganti tetap di bilang salah pin ya tiba error;['mengira', 'lupa', 'pin', 'tapi', 'sudah', 'berulang', 'kali', 'ganti', 'tetap', 'di', 'bilang', 'salah', 'pin', 'ya', 'tiba', 'error'];['lupa', 'pin', 'berulang', 'kali', 'ganti', 'bilang', 'salah', 'pin', 'ya', 'error'];lupa pin ulang kali ganti bilang salah pin ya error;lupa pin ulang kali ganti bilang salah pin ya error;-1.0;Negatif
2025-12-22 04:09:43;membantu, tks;membantu tks;membantu tks;membantu tks;['membantu', 'tks'];['membantu', 'tks'];bantu tks;bantu tks;3.0;Positif
2025-12-21 23:51:34;Aplikasi error force close ketika login atau setelah memasukkan pin dengan benar.;Aplikasi error force close ketika login atau setelah memasukkan pin dengan benar;aplikasi error force close ketika login atau setelah memasukkan pin dengan benar;aplikasi error force close ketika login atau setelah memasukkan pin dengan benar;['aplikasi', 'error', 'force', 'close', 'ketika', 'login', 'atau', 'setelah', 'memasukkan', 'pin', 'dengan', 'benar'];['aplikasi', 'error', 'force', 'close', 'login', 'memasukkan', 'pin'];aplikasi error force close login masuk pin;aplikasi error force close login masuk pin;-14.0;Negatif
2025-12-21 15:48:09;Lebih Baik Mencegah Daripada Mengobati;Lebih Baik Mencegah Daripada Mengobati;lebih baik mencegah daripada mengobati;lebih baik mencegah daripada mengobati;['lebih', 'baik', 'mencegah', 'daripada', 'mengobati'];['mencegah', 'mengobati'];cegah obat;cegah obat;-1.0;Negatif
2025-12-21 15:38:14;CARA PENGGUNAANNYA GMNA KAK;CARA PENGGUNAANNYA GMNA KAK;cara penggunaannya gmna kak;cara penggunaannya bagaimana kak;['cara', 'penggunaannya', 'bagaimana', 'kak'];['penggunaannya', 'kak'];guna kak;guna kak;1.0;Positif
2025-12-21 14:18:34;aplikasi kementerian sekacau ini.. verifikasi WA dan Email ga ada yg masuk;aplikasi kementerian sekacau ini verifikasi WA dan Email ga ada yg masuk;aplikasi kementerian sekacau ini verifikasi wa dan email ga ada yg masuk;aplikasi kementerian sekacau ini verifikasi wa dan email tidak ada yang masuk;['aplikasi', 'kementerian', 'sekacau', 'ini', 'verifikasi', 'wa', 'dan', 'email', 'tidak', 'ada', 'yang', 'masuk'];['aplikasi', 'kementerian', 'sekacau', 'verifikasi', 'wa', 'email', 'masuk'];aplikasi menteri kacau verifikasi wa email masuk;aplikasi menteri kacau verifikasi wa email masuk;-7.0;Negatif
2025-12-21 14:13:46;Aplikasi yang berbau pemerintah tidak ada yang bagus banyak yang bermasalah.;Aplikasi yang berbau pemerintah tidak ada yang bagus banyak yang bermasalah;aplikasi yang berbau pemerintah tidak ada yang bagus banyak yang bermasalah;aplikasi yang berbau pemerintah tidak ada yang bagus banyak yang bermasalah;['aplikasi', 'yang', 'berbau', 'pemerintah', 'tidak', 'ada', 'yang', 'bagus', 'banyak', 'yang', 'bermasalah'];['aplikasi', 'berbau', 'pemerintah', 'bagus', 'bermasalah'];aplikasi bau perintah bagus masalah;aplikasi bau perintah bagus masalah;-10.0;Negatif
2025-12-21 09:01:07;aplikasi jelek saya login akun malah muncul akun tidak ditemukan padahal dulu login pakai akun ini malah hilang padahal saya mau ambil sertifikat vaksim sayaa malah gabisa;aplikasi jelek saya login akun malah muncul akun tidak ditemukan padahal dulu login pakai akun ini malah hilang padahal saya mau ambil sertifikat vaksim sayaa malah gabisa;aplikasi jelek saya login akun malah muncul akun tidak ditemukan padahal dulu login pakai akun ini malah hilang padahal saya mau ambil sertifikat vaksim sayaa malah gabisa;aplikasi jelek saya login akun malah muncul akun tidak ditemukan padahal dulu login pakai akun ini malah hilang padahal saya mau ambil sertifikat vaksim saya malah tidak bisa;['aplikasi', 'jelek', 'saya', 'login', 'akun', 'malah', 'muncul', 'akun', 'tidak', 'ditemukan', 'padahal', 'dulu', 'login', 'pakai', 'akun', 'ini', 'malah', 'hilang', 'padahal', 'saya', 'mau', 'ambil', 'sertifikat', 'vaksim', 'saya', 'malah', 'tidak', 'bisa'];['aplikasi', 'jelek', 'login', 'akun', 'muncul', 'akun', 'ditemukan', 'login', 'pakai', 'akun', 'hilang', 'ambil', 'sertifikat', 'vaksim'];aplikasi jelek login akun muncul akun temu login pakai akun hilang ambil sertifikat vaksim;aplikasi jelek login akun muncul akun temu login pakai akun hilang ambil sertifikat vaksim;-8.0;Negatif
2025-12-21 05:56:57;aneh, sy blum melakukan tes kesehatan ,tapi hasilnya sudah ada;aneh sy blum melakukan tes kesehatan tapi hasilnya sudah ada;aneh sy blum melakukan tes kesehatan tapi hasilnya sudah ada;aneh saya belum melakukan tes kesehatan tapi hasilnya sudah ada;['aneh', 'saya', 'belum', 'melakukan', 'tes', 'kesehatan', 'tapi', 'hasilnya', 'sudah', 'ada'];['aneh', 'tes', 'kesehatan', 'hasilnya'];aneh tes sehat hasil;aneh tes sehat hasil;11.0;Positif
2025-12-20 16:15:14;memang aplikasi buatan negara atau instansi pemerintah gak ada yang bener.. mau daftar antrian pakai online tapi gaj bisa karena tiba tiba dari aplikasi sendiri yang menentukan tempat dan waktunya. lalu mau verifikasi data masukan kode otp sudah benar katanya gak pernah benar. saya bisa baca tulis saya masukan kode yang benar di anggap salah. ya allah tolong;memang aplikasi buatan negara atau instansi pemerintah gak ada yang bener mau daftar antrian pakai online tapi gaj bisa karena tiba tiba dari aplikasi sendiri yang menentukan tempat dan waktunya lalu mau verifikasi data masukan kode otp sudah benar katanya gak pernah benar saya bisa baca tulis saya masukan kode yang benar di anggap salah ya allah tolong;memang aplikasi buatan negara atau instansi pemerintah gak ada yang bener mau daftar antrian pakai online tapi gaj bisa karena tiba tiba dari aplikasi sendiri yang menentukan tempat dan waktunya lalu mau verifikasi data masukan kode otp sudah benar katanya gak pernah benar saya bisa baca tulis saya masukan kode yang benar di anggap salah ya allah tolong;memang aplikasi buatan negara atau instansi pemerintah tidak ada yang benar mau daftar antrian pakai online tapi gaj bisa karena tiba tiba dari aplikasi sendiri yang menentukan tempat dan waktunya lalu mau verifikasi data masukan kode otp sudah benar katanya tidak pernah benar saya bisa baca tulis saya masukan kode yang benar di anggap salah ya allah tolong;['memang', 'aplikasi', 'buatan', 'negara', 'atau', 'instansi', 'pemerintah', 'tidak', 'ada', 'yang', 'benar', 'mau', 'daftar', 'antrian', 'pakai', 'online', 'tapi', 'gaj', 'bisa', 'karena', 'tiba', 'tiba', 'dari', 'aplikasi', 'sendiri', 'yang', 'menentukan', 'tempat', 'dan', 'waktunya', 'lalu', 'mau', 'verifikasi', 'data', 'masukan', 'kode', 'otp', 'sudah', 'benar', 'katanya', 'tidak', 'pernah', 'benar', 'saya', 'bisa', 'baca', 'tulis', 'saya', 'masukan', 'kode', 'yang', 'benar', 'di', 'anggap', 'salah', 'ya', 'allah', 'tolong'];['aplikasi', 'buatan', 'negara', 'instansi', 'pemerintah', 'daftar', 'antrian', 'pakai', 'online', 'gaj', 'aplikasi', 'menentukan', 'verifikasi', 'data', 'masukan', 'kode', 'otp', 'baca', 'tulis', 'masukan', 'kode', 'anggap', 'salah', 'ya', 'allah', 'tolong'];aplikasi buat negara instansi perintah daftar antri pakai online gaj aplikasi tentu verifikasi data masuk kode otp baca tulis masuk kode anggap salah ya allah tolong;aplikasi buat negara instansi perintah daftar antri pakai online gaj aplikasi tentu verifikasi data masuk kode otp baca tulis masuk kode anggap salah ya allah tolong;-16.0;Negatif
2025-12-20 12:13:56;INFO DONG,KO GAK BISA LOGIN DI HP KU YANG SATU YAA,PADAHAL SUDAH KELUAR DI HP LAMA.PAS MAU LOGIN KE HP BARU GAGAL TRUS;INFO DONGKO GAK BISA LOGIN DI HP KU YANG SATU YAAPADAHAL SUDAH KELUAR DI HP LAMAPAS MAU LOGIN KE HP BARU GAGAL TRUS;info dongko gak bisa login di hp ku yang satu yaapadahal sudah keluar di hp lamapas mau login ke hp baru gagal trus;info dongko tidak bisa login di hp ku yang satu yaapadahal sudah keluar di hp lamapas mau login ke hp baru gagal terus;['info', 'dongko', 'tidak', 'bisa', 'login', 'di', 'hp', 'ku', 'yang', 'satu', 'yaapadahal', 'sudah', 'keluar', 'di', 'hp', 'lamapas', 'mau', 'login', 'ke', 'hp', 'baru', 'gagal', 'terus'];['info', 'dongko', 'login', 'hp', 'ku', 'yaapadahal', 'hp', 'lamapas', 'login', 'hp', 'gagal'];info dongko login hp ku yaapadahal hp lamapas login hp gagal;info dongko login hp ku yaapadahal hp lamapas login hp gagal;-7.0;Negatif
